"Film"	"Production Company(s)"	"Producer(s)"	"Year"
"321"	"Ordinary People"	"Paramount"	"Ronald L. Schwary"	1980
"322"	"Coal Miner's Daughter"	"Universal"	"Bernard Schwartz"	1980
"323"	"The Elephant Man"	"Paramount, Brooksfilms"	"Jonathan Sanger"	1980
"324"	"Raging Bull"	"United Artists"	"Irwin Winkler, Robert Chartoff"	1980
"325"	"Tess"	"Columbia, Renn Productions, Timothy Burrill Productions"	"Claude Berri, Timothy Burrill"	1980
"326"	"Chariots of Fire"	"Warner Bros., The Ladd Company, Enigma Film Productions"	"David Puttnam"	1981
"327"	"Atlantic City"	"Cine-Neighbor, Selta Films"	"Denis Héroux"	1981
"328"	"On Golden Pond"	"ITC, Universal"	"Bruce Gilbert"	1981
"329"	"Raiders of the Lost Ark"	"Lucasfilm, Paramount"	"Frank Marshall"	1981
"330"	"Reds"	"Paramount"	"Warren Beatty"	1981
"331"	"Gandhi"	"Columbia"	"Richard Attenborough"	1982
